#,Experience type
1,MediumSlow
2,MediumSlow
3,MediumSlow
4,MediumSlow
5,MediumSlow
6,MediumSlow
7,MediumSlow
8,MediumSlow
9,MediumSlow
10,MediumFast
11,MediumFast
12,MediumFast
13,MediumFast
14,MediumFast
15,MediumFast
16,MediumSlow
17,MediumSlow
18,MediumSlow
19,MediumFast
20,MediumFast
21,MediumFast
22,MediumFast
23,MediumFast
24,MediumFast
25,MediumFast
26,MediumFast
27,MediumFast
28,MediumFast
29,MediumSlow
30,MediumSlow
31,MediumSlow
32,MediumSlow
33,MediumSlow
34,MediumSlow
35,Fast
36,Fast
37,MediumFast
38,MediumFast
39,Fast
40,Fast
41,MediumFast
42,MediumFast
43,MediumSlow
44,MediumSlow
45,MediumSlow
46,MediumFast
47,MediumFast
48,MediumFast
49,MediumFast
50,MediumFast
51,MediumFast
52,MediumFast
53,MediumFast
54,MediumFast
55,MediumFast
56,MediumFast
57,MediumFast
58,Slow
59,Slow
60,MediumSlow
61,MediumSlow
62,MediumSlow
63,MediumSlow
64,MediumSlow
65,MediumSlow
66,MediumSlow
67,MediumSlow
68,MediumSlow
69,MediumSlow
70,MediumSlow
71,MediumSlow
72,Slow
73,Slow
74,MediumSlow
75,MediumSlow
76,MediumSlow
77,MediumFast
78,MediumFast
79,MediumFast
80,MediumFast
81,MediumFast
82,MediumFast
83,MediumFast
84,MediumFast
85,MediumFast
86,MediumFast
87,MediumFast
88,MediumFast
89,MediumFast
90,Slow
91,Slow
92,MediumSlow
93,MediumSlow
94,MediumSlow
95,MediumFast
96,MediumFast
97,MediumFast
98,MediumFast
99,MediumFast
100,MediumFast
101,MediumFast
102,Slow
103,Slow
104,MediumFast
105,MediumFast
106,MediumFast
107,MediumFast
108,MediumFast
109,MediumFast
110,MediumFast
111,Slow
112,Slow
113,Fast
114,MediumFast
115,MediumFast
116,MediumFast
117,MediumFast
118,MediumFast
119,MediumFast
120,Slow
121,Slow
122,MediumFast
123,MediumFast
124,MediumFast
125,MediumFast
126,MediumFast
127,Slow
128,Slow
129,Slow
130,Slow
131,Slow
132,MediumFast
133,MediumFast
134,MediumFast
135,MediumFast
136,MediumFast
137,MediumFast
138,MediumFast
139,MediumFast
140,MediumFast
141,MediumFast
142,Slow
143,Slow
144,Slow
145,Slow
146,Slow
147,Slow
148,Slow
149,Slow
150,Slow
151,MediumSlow
152,MediumSlow
153,MediumSlow
154,MediumSlow
155,MediumSlow
156,MediumSlow
157,MediumSlow
158,MediumSlow
159,MediumSlow
160,MediumSlow
161,MediumFast
162,MediumFast
163,MediumFast
164,MediumFast
165,Fast
166,Fast
167,Fast
168,Fast
169,MediumFast
170,Slow
171,Slow
172,MediumFast
173,Fast
174,Fast
175,Fast
176,Fast
177,MediumFast
178,MediumFast
179,MediumSlow
180,MediumSlow
181,MediumSlow
182,MediumSlow
183,Fast
184,Fast
185,MediumFast
186,MediumSlow
187,MediumSlow
188,MediumSlow
189,MediumSlow
190,Fast
191,MediumSlow
192,MediumSlow
193,MediumFast
194,MediumFast
195,MediumFast
196,MediumFast
197,MediumFast
198,MediumSlow
199,MediumFast
200,Fast
201,MediumFast
202,MediumFast
203,MediumFast
204,MediumFast
205,MediumFast
206,MediumFast
207,MediumSlow
208,MediumFast
209,Fast
210,Fast
211,MediumFast
212,MediumFast
213,MediumSlow
214,Slow
215,MediumSlow
216,MediumFast
217,MediumFast
218,MediumFast
219,MediumFast
220,Slow
221,Slow
222,Fast
223,MediumFast
224,MediumFast
225,Fast
226,Slow
227,Slow
228,Slow
229,Slow
230,MediumFast
231,MediumFast
232,MediumFast
233,MediumFast
234,Slow
235,Fast
236,MediumFast
237,MediumFast
238,MediumFast
239,MediumFast
240,MediumFast
241,Slow
242,Fast
243,Slow
244,Slow
245,Slow
246,Slow
247,Slow
248,Slow
249,Slow
250,Slow
251,MediumSlow
252,MediumSlow
253,MediumSlow
254,MediumSlow
255,MediumSlow
256,MediumSlow
257,MediumSlow
258,MediumSlow
259,MediumSlow
260,MediumSlow
261,MediumFast
262,MediumFast
263,MediumFast
264,MediumFast
265,MediumFast
266,MediumFast
267,MediumFast
268,MediumFast
269,MediumFast
270,MediumSlow
271,MediumSlow
272,MediumSlow
273,MediumSlow
